,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeELORating,AwayELORating,EloGap,HomePossession,AwayPossession,year,month,HomeAttackingRating,HomeMidfieldRating,HomeDefenceRating,HomeOverallRating,AwayAttackingRating,AwayMidfieldRating,AwayDefenceRating,AwayOverallRating,HOMEATTACKVSAWAYDEFENCE,AWAYATTACKVSHOMEDEFENCE,HOMERATINGSVSAWAYRATINGS,HOMEMIDFIELDVSAWAYMIDFIELD
45,45,45,45,45,45,45,45,16/09/2017,Tottenham,Swansea,0,0,D,0,0,D,26,4,8,0,11,9,11,1,1,3,0,0,1900.36071777,1651.0390625,249.32165527000006,76,24,2017,9,86,82,82,82,77,76,75,76,11,-5,6,6
46,46,46,46,46,46,46,46,16/09/2017,Watford,Man City,0,6,A,0,3,A,7,28,1,10,8,6,3,11,2,0,0,0,1643.10620117,1897.54223633,-254.43603515999985,33,67,2017,9,77,76,76,77,84,85,81,83,-4,8,-6,-9
47,47,47,47,47,47,47,47,16/09/2017,West Brom,West Ham,0,0,D,0,0,D,6,9,1,1,15,7,2,3,2,2,0,0,1653.53112793,1659.5324707,-6.0013427700000666,37,63,2017,9,80,77,76,77,80,78,78,79,2,4,-2,-1
48,48,48,48,48,48,48,48,17/09/2017,Chelsea,Arsenal,0,0,D,0,0,D,13,11,4,2,11,15,5,1,1,3,1,0,1920.59973145,1841.90307617,78.69665527999996,50,50,2017,9,85,85,82,84,86,82,81,83,4,4,1,3
49,49,49,49,49,49,49,49,17/09/2017,Man United,Everton,4,0,H,1,0,H,16,7,7,3,15,14,4,1,1,1,0,0,1882.15661621,1742.54858398,139.60803222999994,50,50,2017,9,86,83,81,83,79,82,79,80,7,-2,3,1
50,50,50,50,50,50,50,50,23/09/2017,Burnley,Huddersfield,0,0,D,0,0,D,5,9,3,2,9,13,3,4,3,2,0,0,1660.24780273,1517.13085938,143.11694335000016,52,48,2017,9,75,75,75,75,75,73,72,73,3,0,2,2
51,51,51,51,51,51,51,51,23/09/2017,Everton,Bournemouth,2,1,H,0,0,D,12,8,4,4,12,11,4,6,3,1,0,0,1735.74438477,1635.39941406,100.34497070999987,52,48,2017,9,79,82,79,80,76,74,75,75,4,-3,5,8
52,52,52,52,52,52,52,52,23/09/2017,Leicester,Liverpool,2,3,A,1,2,A,12,23,7,6,13,14,3,6,3,3,0,0,1711.6619873,1842.63708496,-130.97509766000007,44,56,2017,9,80,78,76,78,83,82,80,82,0,7,-4,-4
53,53,53,53,53,53,53,53,23/09/2017,Man City,Crystal Palace,5,0,H,1,0,H,25,5,9,0,6,7,8,2,3,1,0,0,1906.71484375,1596.48083496,310.23400879,72,28,2017,9,84,85,81,83,81,76,76,76,8,0,7,9
54,54,54,54,54,54,54,54,23/09/2017,Southampton,Man United,0,1,A,0,1,A,14,9,4,4,12,9,8,4,1,4,0,0,1688.64343262,1888.96069336,-200.31726074,60,40,2017,9,78,78,78,78,86,83,81,83,-3,8,-5,-5
